CTA_Task_GPSPLV;7;2020-08-05 05:17:39.6822313 +02:00;2020-08-05 05:17:45.0357281 +02:00;6
CTA_Task_GPSMVTM;7;2020-08-05 05:17:48.6519492 +02:00;2020-08-05 05:22:32.8248248 +02:00;284
CTA_Task_GPSPVRPVE;7;2020-08-05 05:17:54.6520438 +02:00;2020-08-05 05:17:58.9026804 +02:00;4
CTA_Task_GPSMVTV;7;2020-08-05 05:18:01.6084113 +02:00;2020-08-05 06:12:32.3338351 +02:00;3271
CTA_Task_GPSTRAV;7;2020-08-05 05:18:08.6668666 +02:00;2020-08-05 05:29:55.1301095 +02:00;707
CTA_Task_GPSDEFO;7;2020-08-05 05:18:15.6545824 +02:00;2020-08-05 05:18:27.1702851 +02:00;12
CTA_Task_GPSMVTT;7;2020-08-05 05:18:20.6233226 +02:00;2020-08-05 05:18:21.8733395 +02:00;1
CTA_Task_GPSMVTD;7;2020-08-05 05:18:26.6546600 +02:00;2020-08-05 05:18:27.5609132 +02:00;1
CTA_Task_GPSMVTM2;7;2020-08-05 05:18:37.5822525 +02:00;2020-08-05 05:37:47.2739774 +02:00;1150
CTA_Task_GPSBRA;7;2020-08-05 05:20:43.8287795 +02:00;2020-08-05 05:24:25.3368124 +02:00;222
CTA_Task_GPSUM;7;2020-08-05 05:20:52.9226547 +02:00;2020-08-05 05:28:00.4556674 +02:00;428
CTA_Task_GPSCOUL;7;2020-08-05 05:21:04.1415548 +02:00;2020-08-05 05:21:26.0636944 +02:00;22
CTA_Task_GPSCOIL;7;2020-08-05 05:21:07.7040826 +02:00;2020-08-05 05:22:30.4331786 +02:00;83
CTA_Task_GPSEMB;7;2020-08-05 05:21:14.6729219 +02:00;2020-08-05 05:21:30.6418836 +02:00;16
CTA_Task_GPSRATIO;7;2020-08-05 05:21:21.6886375 +02:00;2020-08-05 05:21:30.7200076 +02:00;9
CTA_Task_GPSPGM;7;2020-08-05 05:21:23.7980490 +02:00;2020-08-05 05:21:37.5950920 +02:00;14
CTA_Task_GPSBRAEVE;7;2020-08-05 05:21:31.9856443 +02:00;2020-08-05 05:26:22.9883320 +02:00;291
CTA_Task_GP;7;2020-08-05 05:21:32.9231567 +02:00;2020-08-05 05:22:12.0330431 +02:00;40
CTA_Task_AUDIT;7;2020-08-05 05:21:32.9231567 +02:00;2020-08-05 05:30:36.9587662 +02:00;544
CTA_Task_GPSSUIREAF;7;2020-08-05 05:21:39.4232413 +02:00;2020-08-05 05:22:02.8141628 +02:00;23
CTA_Task_GPSOBSERV;7;2020-08-05 05:21:45.1264365 +02:00;2020-08-05 05:22:59.4571037 +02:00;74
CTA_Task_GPSBRAINSP;7;2020-08-05 05:21:50.6265071 +02:00;2020-08-05 05:22:06.6892149 +02:00;16
CTA_Task_GPSETU;7;2020-08-05 05:21:55.9547045 +02:00;2020-08-05 05:22:08.6892396 +02:00;13
CTA_Task_GPSDEFUM;7;2020-08-05 05:22:02.4235331 +02:00;2020-08-05 05:22:26.4943079 +02:00;24
CTA_Task_GPSTRAVAL;7;2020-08-05 05:22:09.2986222 +02:00;2020-08-05 05:22:59.4883544 +02:00;50
CTA_Task_GPSBRACOUV;7;2020-08-05 05:22:14.6424427 +02:00;2020-08-05 05:22:20.9897798 +02:00;6
CTA_Task_GPSCOUV;7;2020-08-05 05:22:23.1973902 +02:00;2020-08-05 05:22:33.4029550 +02:00;10
CTA_Task_GPSFCESUI;7;2020-08-05 05:22:28.8068483 +02:00;2020-08-05 05:22:30.3081771 +02:00;2
CTA_Task_GPSESSETU;7;2020-08-05 05:22:35.0149547 +02:00;2020-08-05 05:22:43.5074030 +02:00;8
CTA_Task_GPSHISTRAP;7;2020-08-05 05:33:13.9378116 +02:00;2020-08-05 05:35:38.4864886 +02:00;145
CTA_Task_GPSHISMANUT;7;2020-08-05 05:33:13.9378116 +02:00;2020-08-05 05:33:23.5247247 +02:00;10
CTA_Task_NGCNPCALARM;7;2020-08-05 05:49:28.6311609 +02:00;2020-08-05 05:49:50.8932167 +02:00;22
CTA_Task_GPSMODULE;7;2020-08-05 05:49:28.6311609 +02:00;2020-08-05 05:49:46.0596216 +02:00;18
